11, 11, 25, 33, 25, 23.71
9, 13, 11, 29, 23, 25.59
10, 20, 24, 40, 18, 24.79
9, 9, 9, 27, 27, 25.23
11, 16, 21, 31, 16, 25.18
10, 10, 10, 34, 26, 25.89
15, 18, 23, 39, 21, 29.69
16, 17, 21, 38, 16, 29.62
11, 20, 21, 33, 11, 24.67
14, 24, 22, 30, 14, 27.48
11, 13, 13, 25, 21, 25.46
10, 10, 18, 34, 10, 25.6
8, 10, 8, 34, 28, 25.13
14, 14, 18, 36, 22, 26.65
13, 19, 19, 31, 19, 24.69
15, 19, 15, 30, 23, 25.24
13, 17, 13, 27, 23, 27.18
11, 21, 17, 29, 17, 24.32
7, 19, 11, 35, 7, 22.81
13, 21, 21, 29, 13, 24.91
10, 18, 10, 48, 30, 26.92
15, 18, 23, 39, 21, 29.57
11, 17, 15, 37, 17, 26.85
11, 17, 15, 37, 17, 25.01
13, 17, 24, 36, 13, 25.96
13, 15, 21, 31, 13, 27.28
14, 14, 25, 35, 14, 28.7
10, 12, 22, 34, 10, 24.18
11, 15, 19, 33, 11, 26.19
9, 18, 19, 35, 9, 25.89
10, 10, 18, 34, 10, 25.51
11, 17, 15, 37, 17, 25.92
13, 13, 23, 35, 23, 25.16
8, 8, 20, 34, 18, 23.4
15, 26, 25, 31, 15, 26.23
16, 18, 27, 37, 20, 26.34
14, 14, 14, 38, 22, 26.43
8, 8, 20, 34, 8, 24.71
13, 13, 27, 41, 23, 25.64
12, 12, 12, 24, 22, 24.22
14, 14, 21, 40, 30, 25.13
16, 17, 25, 35, 21, 28.84
15, 15, 19, 36, 17, 28.8
11, 15, 19, 33, 11, 26.7
7, 7, 21, 45, 33, 24.97
11, 11, 27, 40, 11, 25.71
6, 20, 10, 35, 6, 22.84
9, 13, 15, 37, 19, 24.16
8, 10, 8, 27, 24, 23.92
11, 21, 19, 31, 11, 25.09
9, 15, 13, 31, 15, 25.51
14, 14, 14, 36, 22, 26.18
11, 16, 21, 31, 16, 26.21
14, 24, 22, 30, 14, 25.4
15, 15, 31, 41, 15, 28.06
8, 8, 10, 34, 32, 23.81
13, 17, 21, 41, 33, 24.88
6, 20, 10, 35, 6, 22.31
8, 16, 10, 28, 18, 23.17
15, 17, 26, 37, 15, 26.22
13, 13, 21, 35, 13, 29.28
14, 18, 20, 38, 20, 25.78
14, 26, 16, 41, 21, 28.75
9, 9, 9, 33, 29, 25.8
6, 6, 18, 34, 6, 23.34
10, 16, 14, 24, 20, 23.64
14, 24, 19, 36, 16, 27.29
10, 24, 14, 38, 10, 25.9
13, 17, 17, 28, 24, 25.66
16, 18, 16, 31, 18, 28.83
13, 13, 27, 41, 23, 26.92
9, 18, 19, 35, 9, 26.36
11, 16, 21, 31, 16, 24.85
14, 14, 21, 40, 30, 26.32
14, 14, 25, 35, 14, 27.93
10, 18, 10, 48, 30, 27.6
14, 24, 19, 36, 16, 29.42
8, 10, 16, 35, 22, 24.09
15, 20, 21, 40, 27, 28.31
13, 13, 13, 31, 29, 25.79
16, 16, 28, 38, 26, 26.9
7, 13, 19, 40, 7, 24.53
8, 10, 12, 28, 8, 25.31
8, 12, 8, 28, 14, 23.22
13, 17, 24, 36, 13, 26.5
8, 10, 8, 34, 28, 23.94
8, 10, 8, 27, 24, 24.8
9, 11, 25, 45, 29, 25.06
12, 12, 16, 34, 28, 25.85
14, 18, 16, 30, 20, 26.93
14, 14, 14, 36, 22, 27.89
10, 12, 20, 44, 26, 25.56
12, 12, 16, 28, 24, 25.95
12, 12, 12, 24, 22, 24.66
11, 15, 11, 23, 19, 23.33
13, 14, 30, 38, 24, 28.9
9, 13, 15, 37, 19, 24.08
11, 23, 17, 29, 20, 24.03
13, 17, 21, 41, 33, 25.56
10, 13, 24, 28, 22, 24.74
